15;"Error";"Could not copy file http://www.straight.com/files/images/13GoingOn_Image.gif"
16;"Error";"Could not copy file http://www.straight.com/files/images/19Months_image.gif"
23;"Error";"Could not copy file http://www.straight.com/files/images/ADV_Seawall_1898.jpg"
24;"Error";"Could not copy file http://www.straight.com/files/images/ADV_Surf_1898.jpg"
25;"Error";"Could not copy file http://www.straight.com/files/images/AGAINST_ROPES.jpg"
26;"Error";"Could not copy file http://www.straight.com/files/images/ARTPIX_Bonobo_1964.jpg"
27;"Error";"Could not copy file http://www.straight.com/files/images/ARTPIX_Caravan_IOU_1964.jpg"
36;"Error";"Could not copy file http://www.straight.com/files/images/ARTSPIX_Allard_1905.jpg"
59;"Error";"Could not copy file http://www.straight.com/files/images/ARTSPIX_Broken_1923.jpg"
63;"Error";"Could not copy file http://www.straight.com/files/images/ARTSPIX_ChamberChoir2_1920.jpg"
84;"Error";"Could not copy file http://www.straight.com/files/images/ARTSPIX_Daniel_Leveill_1886.jpg"
102;"Error";"Could not copy file http://www.straight.com/files/images/ARTSPIX_Fialkowska_1949.jpg"
106;"Error";"Could not copy file http://www.straight.com/files/images/ARTSPIX_Fleming_1934.jpg"
108;"Error";"Could not copy file http://www.straight.com/files/images/ARTSPIX_Fringe_1970-l.jpg"
145;"Error";"Could not copy file http://www.straight.com/files/images/ARTSPIX_LaSeizieme_1923.jpg"
181;"Error";"Could not copy file http://www.straight.com/files/images/ARTSPIX_Recital_1_1920.jpg"
186;"Error";"Could not copy file http://www.straight.com/files/images/ARTSPIX_Rumba_1962.jpg"
255;"Error";"Could not copy file http://www.straight.com/files/images/ARTS_Fringe_Emelia_IN_1916.jpg"
259;"Error";"Could not copy file http://www.straight.com/files/images/ARTS_Notes_Comix3_1914_1.gif"
265;"Error";"Could not copy file http://www.straight.com/files/images/ART_Abdul_1975.jpg"
266;"Error";"Could not copy file http://www.straight.com/files/images/ART_Aboriginal_1956.jpg"
274;"Error";"Could not copy file http://www.straight.com/files/images/ART_Architect3_1970.jpg"
282;"Error";"Could not copy file http://www.straight.com/files/images/ART_Ballet_3_1937.jpg"
290;"Error";"Could not copy file http://www.straight.com/files/images/ART_Bellydance_1894_1.gif"
303;"Error";"Could not copy file http://www.straight.com/files/images/ART_Bradshaw_1954.jpg"
315;"Error";"Could not copy file http://www.straight.com/files/images/ART_Butterfly_1928.jpg"
316;"Error";"Could not copy file http://www.straight.com/files/images/ART_Cabaret_1978.jpg"
322;"Error";"Could not copy file http://www.straight.com/files/images/ART_Carlson_1901_1.gif"
323;"Error";"Could not copy file http://www.straight.com/files/images/ART_Carnage_1977.jpg"
327;"Error";"Could not copy file http://www.straight.com/files/images/ART_Cavendish_1984.jpg"
335;"Error";"Could not copy file http://www.straight.com/files/images/ART_Chutzpah2_1942.jpg"
336;"Error";"Could not copy file http://www.straight.com/files/images/ART_Cladaveo2_1963.jpg"
341;"Error";"Could not copy file http://www.straight.com/files/images/ART_Comedy_Louis_1921.jpg"
343;"Error";"Could not copy file http://www.straight.com/files/images/ART_Comics_1904.jpg"
344;"Error";"Could not copy file http://www.straight.com/files/images/ART_Common2_1979.jpg"
345;"Error";"Could not copy file http://www.straight.com/files/images/ART_Cosi_1942.jpg"
349;"Error";"Could not copy file http://www.straight.com/files/images/ART_Curators_Slade_1891.jpg"
351;"Error";"Could not copy file http://www.straight.com/files/images/ART_Dance2_1941.jpg"
352;"Error";"Could not copy file http://www.straight.com/files/images/ART_Dance_1944.jpg"
355;"Error";"Could not copy file http://www.straight.com/files/images/ART_Dance_East_1902.jpg"
358;"Error";"Could not copy file http://www.straight.com/files/images/ART_Davidson_1904_1.gif"
359;"Error";"Could not copy file http://www.straight.com/files/images/ART_Desdemona_1945.jpg"
364;"Error";"Could not copy file http://www.straight.com/files/images/ART_Downtown1_1968.jpg"
371;"Error";"Could not copy file http://www.straight.com/files/images/ART_Edge_1906.jpg"
380;"Error";"Could not copy file http://www.straight.com/files/images/ART_Empty_Orchestra_1938.jpg"
385;"Error";"Could not copy file http://www.straight.com/files/images/ART_Faith_1948.jpg"
392;"Error";"Could not copy file http://www.straight.com/files/images/ART_Festival3_1957.jpg"
